images,z,x
03_10_2020_1\output_0012\0000091_z00_x06.jpg,0,6
03_13_2020_1\output_0008\0000476_z05_x06.jpg,5,6
03_09_2020_1\output_0021\0000633_z01_x07.jpg,1,7
03_13_2020_1\output_0004\0000306_z02_x06.jpg,2,6
03_06_2020_0\output_0008\0001327_z01_x07.jpg,1,7
03_16_2020_0\output_0005\0000077_z07_x06.jpg,7,6
03_09_2020_1\output_0025\0000263_z02_x07.jpg,2,7
03_10_2020_1\output_0012\0000677_z02_x06.jpg,2,6
03_13_2020_1\output_0003\0000808_z03_x06.jpg,3,6
03_06_2020_0\output_0002\0000625_z05_x06.jpg,5,6
03_09_2020_1\output_0023\0000285_z05_x06.jpg,5,6
03_16_2020_0\output_0000\0000232_z07_x06.jpg,7,6
03_12_2020_0\output_0000\0000784_z07_x07.jpg,7,7
03_13_2020_0\output_0005\0000663_z07_x07.jpg,7,7
03_10_2020_1\output_0003\0000248_z03_x06.jpg,3,6
03_16_2020_0\output_0006\0000655_z07_x06.jpg,7,6
03_12_2020_0\output_0013\0000826_z07_x07.jpg,7,7
03_10_2020_1\output_0003\0000590_z03_x06.jpg,3,6
03_09_2020_1\output_0036\0000488_z05_x06.jpg,5,6
03_09_2020_1\output_0043\0000486_z02_x07.jpg,2,7
03_06_2020_0\output_0004\0000130_z05_x06.jpg,5,6
03_10_2020_1\output_0014\0000911_z04_x06.jpg,4,6
03_06_2020_0\output_0010\0000364_z08_x07.jpg,8,7
03_06_2020_0\output_0003\0000327_z10_x07.jpg,10,7
JetBot\2021-10-08-20-32\0001442_z04_x07.jpg,4,7
03_12_2020_0\output_0009\0000178_z07_x06.jpg,7,6
03_06_2020_0\output_0003\0001183_z05_x07.jpg,5,7
03_06_2020_0\output_0011\0001004_z05_x07.jpg,5,7
03_06_2020_0\output_0009\0000316_z05_x06.jpg,5,6
03_06_2020_0\output_0002\0000395_z05_x06.jpg,5,6
03_10_2020_1\output_0001\0000070_z05_x06.jpg,5,6
03_10_2020_1\output_0009\0000248_z01_x06.jpg,1,6
03_06_2020_0\output_0007\0000496_z08_x06.jpg,8,6
03_12_2020_0\output_0012\0000839_z05_x07.jpg,5,7
03_12_2020_0\output_0015\0000158_z05_x07.jpg,5,7
03_13_2020_0\output_0002\0000363_z06_x06.jpg,6,6
03_09_2020_1\output_0023\0000319_z04_x06.jpg,4,6
03_09_2020_1\output_0029\0000730_z01_x07.jpg,1,7
03_10_2020_1\output_0014\0000099_z03_x06.jpg,3,6
03_12_2020_0\output_0006\0000579_z10_x06.jpg,10,6
03_09_2020_1\output_0030\0000204_z02_x07.jpg,2,7
03_13_2020_1\output_0011\0000257_z04_x07.jpg,4,7
03_06_2020_0\output_0003\0001448_z05_x07.jpg,5,7
03_06_2020_0\output_0002\0000602_z05_x07.jpg,5,7
03_13_2020_0\output_0004\0001052_z07_x07.jpg,7,7
03_10_2020_1\output_0010\0000592_z05_x06.jpg,5,6
03_10_2020_1\output_0004\0000537_z01_x06.jpg,1,6
JetBot\2021-10-08-20-32\0002648_z09_x06.jpg,9,6
03_06_2020_0\output_0008\0001573_z00_x06.jpg,0,6
03_13_2020_1\output_0000\0000545_z05_x06.jpg,5,6
03_13_2020_1\output_0007\0000076_z05_x07.jpg,5,7
03_12_2020_0\output_0003\0000883_z10_x06.jpg,10,6
03_12_2020_0\output_0015\0000581_z07_x07.jpg,7,7
03_06_2020_0\output_0011\0000022_z04_x06.jpg,4,6
03_06_2020_0\output_0008\0001206_z00_x07.jpg,0,7
03_09_2020_1\output_0025\0000006_z05_x06.jpg,5,6
03_09_2020_1\output_0024\0000007_z05_x06.jpg,5,6
03_09_2020_1\output_0023\0000418_z02_x06.jpg,2,6
03_09_2020_1\output_0032\0000921_z00_x07.jpg,0,7
03_13_2020_0\output_0001\0000834_z06_x07.jpg,6,7
03_09_2020_1\output_0032\0000619_z05_x07.jpg,5,7
03_12_2020_0\output_0008\0000589_z05_x07.jpg,5,7
03_10_2020_1\output_0006\0000141_z03_x06.jpg,3,6
JetBot\2021-10-08-20-32\0001448_z05_x07.jpg,5,7
JetBot\2021-10-08-20-32\0000630_z05_x06.jpg,5,6
03_13_2020_0\output_0004\0000908_z06_x07.jpg,6,7
03_06_2020_0\output_0011\0000294_z00_x07.jpg,0,7
03_09_2020_1\output_0035\0000879_z05_x06.jpg,5,6
03_13_2020_1\output_0011\0000139_z05_x07.jpg,5,7
03_10_2020_1\output_0013\0000574_z05_x06.jpg,5,6
03_09_2020_1\output_0021\0000671_z02_x07.jpg,2,7
03_09_2020_1\output_0023\0000018_z04_x06.jpg,4,6
03_13_2020_0\output_0007\0000268_z07_x07.jpg,7,7
03_13_2020_1\output_0005\0000509_z05_x07.jpg,5,7
03_13_2020_1\output_0011\0000660_z02_x07.jpg,2,7
03_10_2020_1\output_0012\0000570_z03_x06.jpg,3,6
03_13_2020_1\output_0000\0000801_z02_x06.jpg,2,6
03_12_2020_0\output_0013\0000296_z07_x06.jpg,7,6
03_12_2020_0\output_0011\0000005_z05_x06.jpg,5,6
03_10_2020_1\output_0010\0001013_z04_x06.jpg,4,6
03_09_2020_1\output_0025\0000641_z02_x07.jpg,2,7
03_13_2020_1\output_0004\0000480_z02_x06.jpg,2,6
03_12_2020_0\output_0014\0000508_z08_x07.jpg,8,7
03_16_2020_0\output_0004\0000805_z07_x06.jpg,7,6
03_12_2020_0\output_0008\0000675_z05_x06.jpg,5,6
03_10_2020_1\output_0014\0000080_z03_x06.jpg,3,6
03_09_2020_1\output_0021\0000438_z05_x07.jpg,5,7
03_06_2020_0\output_0006\0000318_z05_x06.jpg,5,6
03_10_2020_1\output_0009\0000465_z02_x06.jpg,2,6
03_09_2020_1\output_0033\0000290_z04_x06.jpg,4,6
03_10_2020_1\output_0007\0000799_z04_x06.jpg,4,6
03_10_2020_1\output_0003\0000204_z03_x06.jpg,3,6
03_09_2020_1\output_0032\0000162_z02_x07.jpg,2,7
03_10_2020_1\output_0000\0000102_z05_x06.jpg,5,6
03_09_2020_1\output_0014\0000398_z00_x06.jpg,0,6
03_09_2020_1\output_0039\0000632_z03_x07.jpg,3,7
03_10_2020_1\output_0012\0000260_z02_x06.jpg,2,6
03_10_2020_1\output_0007\0000112_z01_x06.jpg,1,6
03_12_2020_0\output_0001\0000579_z06_x06.jpg,6,6
03_16_2020_0\output_0006\0000379_z06_x07.jpg,6,7
03_16_2020_0\output_0004\0000870_z08_x07.jpg,8,7
03_09_2020_1\output_0023\0000240_z02_x06.jpg,2,6
03_12_2020_0\output_0007\0000455_z07_x06.jpg,7,6
03_13_2020_1\output_0008\0000704_z03_x06.jpg,3,6
03_09_2020_1\output_0029\0000015_z05_x08.jpg,5,8
03_09_2020_1\output_0019\0000509_z03_x07.jpg,3,7
03_09_2020_1\output_0025\0000284_z05_x07.jpg,5,7
03_09_2020_1\output_0037\0000009_z01_x06.jpg,1,6
03_09_2020_1\output_0020\0000153_z05_x07.jpg,5,7
03_13_2020_0\output_0005\0000484_z08_x07.jpg,8,7
03_12_2020_0\output_0007\0000408_z06_x07.jpg,6,7
03_13_2020_0\output_0005\0000366_z08_x07.jpg,8,7
03_13_2020_1\output_0012\0000604_z04_x07.jpg,4,7
03_12_2020_0\output_0003\0000707_z07_x06.jpg,7,6
03_12_2020_0\output_0006\0000479_z05_x07.jpg,5,7
03_06_2020_0\output_0011\0000530_z05_x06.jpg,5,6
03_13_2020_1\output_0003\0000778_z01_x06.jpg,1,6
03_12_2020_0\output_0012\0000492_z07_x07.jpg,7,7
03_06_2020_0\output_0010\0000045_z07_x07.jpg,7,7
03_13_2020_1\output_0008\0000541_z05_x06.jpg,5,6
03_09_2020_1\output_0032\0000481_z03_x07.jpg,3,7
03_10_2020_1\output_0000\0000150_z05_x06.jpg,5,6
03_12_2020_0\output_0009\0000240_z09_x07.jpg,9,7
03_10_2020_1\output_0011\0001130_z01_x06.jpg,1,6
03_13_2020_0\output_0002\0000431_z06_x07.jpg,6,7
03_13_2020_1\output_0004\0000835_z04_x07.jpg,4,7
03_10_2020_1\output_0008\0001081_z03_x06.jpg,3,6
03_09_2020_1\output_0032\0000631_z03_x07.jpg,3,7
03_09_2020_1\output_0043\0000710_z02_x07.jpg,2,7
03_12_2020_0\output_0004\0000722_z06_x07.jpg,6,7
03_10_2020_1\output_0007\0000875_z03_x06.jpg,3,6
03_16_2020_0\output_0000\0000422_z07_x06.jpg,7,6
03_09_2020_1\output_0016\0000424_z00_x06.jpg,0,6
03_09_2020_1\output_0037\0000706_z05_x07.jpg,5,7
03_12_2020_0\output_0010\0000174_z05_x06.jpg,5,6
03_10_2020_1\output_0013\0000757_z04_x06.jpg,4,6
03_09_2020_1\output_0041\0000170_z05_x07.jpg,5,7
03_09_2020_1\output_0041\0000693_z03_x07.jpg,3,7
03_16_2020_0\output_0001\0000219_z07_x07.jpg,7,7
03_13_2020_1\output_0004\0000378_z03_x06.jpg,3,6
03_12_2020_0\output_0013\0000658_z08_x07.jpg,8,7
03_12_2020_0\output_0009\0000616_z08_x07.jpg,8,7
03_12_2020_0\output_0004\0000865_z06_x07.jpg,6,7
03_13_2020_1\output_0007\0000987_z02_x07.jpg,2,7
03_10_2020_1\output_0016\0000151_z04_x07.jpg,4,7
03_13_2020_1\output_0005\0000141_z00_x07.jpg,0,7
03_10_2020_1\output_0014\0000871_z03_x06.jpg,3,6
03_09_2020_1\output_0035\0000680_z05_x06.jpg,5,6
03_09_2020_1\output_0026\0000109_z05_x07.jpg,5,7
03_09_2020_1\output_0013\0000521_z05_x06.jpg,5,6
03_13_2020_1\output_0002\0000954_z02_x06.jpg,2,6
03_10_2020_1\output_0003\0000095_z05_x06.jpg,5,6
03_09_2020_1\output_0016\0000613_z04_x06.jpg,4,6
03_12_2020_0\output_0009\0001084_z07_x06.jpg,7,6
03_12_2020_0\output_0014\0000155_z06_x07.jpg,6,7
03_09_2020_1\output_0025\0000333_z05_x07.jpg,5,7
03_09_2020_1\output_0016\0000650_z04_x06.jpg,4,6
03_13_2020_0\output_0001\0000507_z05_x07.jpg,5,7
03_06_2020_0\output_0006\0000666_z03_x07.jpg,3,7
03_12_2020_0\output_0014\0000178_z10_x06.jpg,10,6
03_06_2020_0\output_0010\0000767_z07_x07.jpg,7,7
03_12_2020_0\output_0001\0001125_z08_x06.jpg,8,6
03_09_2020_1\output_0026\0000299_z02_x07.jpg,2,7
03_06_2020_0\output_0006\0000082_z05_x06.jpg,5,6
03_13_2020_0\output_0001\0000774_z06_x07.jpg,6,7
03_10_2020_1\output_0011\0000678_z01_x06.jpg,1,6
03_12_2020_0\output_0000\0000634_z09_x07.jpg,9,7
03_06_2020_0\output_0003\0001545_z05_x07.jpg,5,7
03_06_2020_0\output_0007\0000094_z08_x06.jpg,8,6
03_12_2020_0\output_0001\0000592_z09_x06.jpg,9,6
03_12_2020_0\output_0007\0000026_z08_x06.jpg,8,6
03_13_2020_1\output_0003\0000276_z04_x07.jpg,4,7
03_13_2020_1\output_0012\0000922_z03_x06.jpg,3,6
JetBot\2021-10-08-20-32\0000139_z05_x08.jpg,5,8
03_12_2020_0\output_0013\0000580_z07_x07.jpg,7,7
JetBot\2021-10-08-20-32\0000994_z05_x07.jpg,5,7
03_09_2020_1\output_0015\0000614_z00_x07.jpg,0,7
03_12_2020_0\output_0007\0000612_z07_x07.jpg,7,7
03_12_2020_0\output_0012\0000655_z06_x07.jpg,6,7
03_12_2020_0\output_0013\0000730_z06_x07.jpg,6,7
03_09_2020_1\output_0029\0000850_z00_x07.jpg,0,7
03_12_2020_0\output_0006\0000949_z07_x06.jpg,7,6
03_13_2020_0\output_0003\0000544_z07_x06.jpg,7,6
03_09_2020_1\output_0034\0000324_z03_x06.jpg,3,6
03_12_2020_0\output_0013\0001092_z05_x06.jpg,5,6
03_10_2020_1\output_0004\0000322_z04_x06.jpg,4,6
03_13_2020_1\output_0010\0000652_z02_x07.jpg,2,7
03_09_2020_1\output_0039\0000611_z04_x07.jpg,4,7
JetBot\2021-10-08-20-32\0001682_z05_x06.jpg,5,6
03_09_2020_1\output_0039\0000560_z02_x07.jpg,2,7
03_06_2020_0\output_0008\0001313_z02_x07.jpg,2,7
03_13_2020_1\output_0009\0000200_z05_x06.jpg,5,6
03_09_2020_1\output_0013\0000262_z03_x07.jpg,3,7
03_06_2020_0\output_0009\0000430_z05_x07.jpg,5,7
03_09_2020_1\output_0030\0000281_z05_x06.jpg,5,6
03_12_2020_0\output_0015\0000574_z08_x07.jpg,8,7
03_13_2020_1\output_0011\0000282_z05_x06.jpg,5,6
03_13_2020_1\output_0000\0000393_z03_x06.jpg,3,6
03_13_2020_1\output_0010\0000043_z02_x06.jpg,2,6
03_12_2020_0\output_0010\0000831_z07_x06.jpg,7,6
03_09_2020_1\output_0021\0000711_z02_x07.jpg,2,7
03_09_2020_1\output_0024\0000143_z01_x06.jpg,1,6
03_09_2020_1\output_0038\0000328_z02_x07.jpg,2,7
03_06_2020_0\output_0006\0000787_z00_x06.jpg,0,6
03_09_2020_1\output_0039\0000602_z00_x07.jpg,0,7
03_09_2020_1\output_0040\0000701_z02_x07.jpg,2,7
JetBot\2021-10-08-20-32\0000704_z05_x07.jpg,5,7
03_09_2020_1\output_0036\0000269_z03_x06.jpg,3,6
03_16_2020_0\output_0004\0000770_z08_x07.jpg,8,7
03_09_2020_1\output_0015\0000730_z00_x07.jpg,0,7
03_06_2020_0\output_0011\0000234_z02_x07.jpg,2,7
03_06_2020_0\output_0009\0001206_z05_x07.jpg,5,7
03_10_2020_1\output_0006\0000541_z02_x06.jpg,2,6
03_13_2020_1\output_0010\0000240_z03_x06.jpg,3,6
03_12_2020_0\output_0006\0000118_z05_x07.jpg,5,7
03_13_2020_0\output_0002\0000555_z07_x07.jpg,7,7
03_09_2020_1\output_0034\0000520_z02_x07.jpg,2,7
03_13_2020_0\output_0004\0000227_z09_x06.jpg,9,6
03_13_2020_1\output_0007\0000333_z01_x07.jpg,1,7
03_12_2020_0\output_0008\0000800_z08_x07.jpg,8,7
03_12_2020_0\output_0014\0000149_z05_x07.jpg,5,7
03_09_2020_1\output_0020\0000377_z05_x07.jpg,5,7
03_12_2020_0\output_0003\0000751_z07_x06.jpg,7,6
03_12_2020_0\output_0007\0000879_z08_x06.jpg,8,6
03_10_2020_1\output_0016\0000014_z04_x07.jpg,4,7
03_09_2020_1\output_0039\0000577_z03_x07.jpg,3,7
03_13_2020_1\output_0000\0000713_z03_x06.jpg,3,6
03_09_2020_1\output_0029\0000118_z04_x08.jpg,4,8
03_06_2020_0\output_0003\0000768_z09_x07.jpg,9,7
03_16_2020_0\output_0004\0000734_z07_x07.jpg,7,7
03_12_2020_0\output_0011\0000284_z06_x07.jpg,6,7
03_12_2020_0\output_0003\0000770_z08_x06.jpg,8,6
03_09_2020_1\output_0015\0000495_z03_x07.jpg,3,7
03_09_2020_1\output_0019\0000229_z02_x06.jpg,2,6
03_09_2020_1\output_0032\0000301_z05_x07.jpg,5,7
03_06_2020_0\output_0011\0001465_z02_x08.jpg,2,8
03_12_2020_0\output_0007\0000138_z08_x07.jpg,8,7
03_06_2020_0\output_0004\0000050_z00_x06.jpg,0,6
03_09_2020_1\output_0021\0000255_z03_x07.jpg,3,7
03_12_2020_0\output_0009\0000878_z05_x07.jpg,5,7
03_13_2020_1\output_0008\0000062_z05_x06.jpg,5,6
03_12_2020_0\output_0001\0000304_z08_x06.jpg,8,6
03_06_2020_0\output_0006\0000633_z03_x07.jpg,3,7
03_09_2020_1\output_0035\0000206_z01_x07.jpg,1,7
03_06_2020_0\output_0006\0000438_z05_x06.jpg,5,6
03_13_2020_1\output_0001\0000878_z04_x06.jpg,4,6
03_09_2020_1\output_0024\0000338_z02_x07.jpg,2,7
03_12_2020_0\output_0010\0000616_z07_x07.jpg,7,7
03_16_2020_0\output_0004\0000528_z05_x06.jpg,5,6
03_13_2020_0\output_0000\0000220_z07_x07.jpg,7,7
03_13_2020_1\output_0012\0000674_z05_x07.jpg,5,7
03_06_2020_0\output_0004\0000126_z05_x07.jpg,5,7
03_10_2020_1\output_0007\0000398_z05_x06.jpg,5,6
03_10_2020_1\output_0004\0000677_z04_x06.jpg,4,6
03_13_2020_1\output_0007\0000369_z04_x07.jpg,4,7
03_09_2020_1\output_0025\0000366_z03_x07.jpg,3,7
03_13_2020_0\output_0005\0000958_z08_x07.jpg,8,7
03_12_2020_0\output_0014\0000940_z09_x07.jpg,9,7
03_09_2020_1\output_0016\0000193_z05_x07.jpg,5,7
03_13_2020_1\output_0000\0000695_z00_x06.jpg,0,6
03_12_2020_0\output_0002\0001035_z05_x07.jpg,5,7
JetBot\2021-10-08-20-32\0002441_z05_x09.jpg,5,9
03_13_2020_1\output_0012\0000567_z03_x07.jpg,3,7
03_12_2020_0\output_0005\0000865_z05_x07.jpg,5,7
03_13_2020_1\output_0003\0000610_z05_x06.jpg,5,6
03_10_2020_1\output_0013\0000717_z04_x06.jpg,4,6
03_10_2020_1\output_0014\0000435_z02_x06.jpg,2,6
03_09_2020_1\output_0044\0000132_z02_x07.jpg,2,7
03_10_2020_1\output_0012\0000501_z05_x06.jpg,5,6
03_10_2020_1\output_0008\0000248_z05_x06.jpg,5,6
03_12_2020_0\output_0009\0001041_z09_x06.jpg,9,6
03_12_2020_0\output_0007\0000156_z07_x07.jpg,7,7
03_06_2020_0\output_0011\0000617_z03_x07.jpg,3,7
03_16_2020_0\output_0001\0000298_z08_x07.jpg,8,7
03_09_2020_1\output_0036\0000652_z02_x06.jpg,2,6
03_13_2020_0\output_0001\0000591_z06_x07.jpg,6,7
03_12_2020_0\output_0008\0000098_z06_x07.jpg,6,7
03_10_2020_1\output_0011\0000735_z05_x06.jpg,5,6
03_09_2020_1\output_0041\0000689_z05_x07.jpg,5,7
03_10_2020_1\output_0014\0000217_z02_x06.jpg,2,6
03_13_2020_0\output_0004\0000260_z07_x06.jpg,7,6
03_13_2020_0\output_0001\0000173_z07_x07.jpg,7,7
03_12_2020_0\output_0002\0001037_z05_x07.jpg,5,7
03_10_2020_1\output_0007\0000371_z01_x06.jpg,1,6
03_12_2020_0\output_0013\0000782_z07_x07.jpg,7,7
03_06_2020_0\output_0003\0001142_z09_x06.jpg,9,6
03_10_2020_1\output_0015\0001009_z02_x07.jpg,2,7
03_12_2020_0\output_0008\0000282_z10_x06.jpg,10,6
03_06_2020_0\output_0010\0000743_z08_x07.jpg,8,7
03_06_2020_0\output_0006\0000238_z03_x06.jpg,3,6
03_09_2020_1\output_0029\0000082_z03_x06.jpg,3,6
03_12_2020_0\output_0013\0000746_z07_x07.jpg,7,7
03_12_2020_0\output_0009\0000483_z08_x07.jpg,8,7
03_10_2020_1\output_0004\0001107_z05_x06.jpg,5,6
03_06_2020_0\output_0011\0001532_z01_x10.jpg,1,10
03_09_2020_1\output_0036\0000140_z05_x07.jpg,5,7
03_10_2020_1\output_0004\0000443_z05_x06.jpg,5,6
03_13_2020_1\output_0009\0000542_z02_x06.jpg,2,6
03_06_2020_0\output_0003\0000838_z10_x06.jpg,10,6
03_09_2020_1\output_0043\0000449_z03_x07.jpg,3,7
03_12_2020_0\output_0004\0000036_z07_x07.jpg,7,7
03_09_2020_1\output_0040\0000553_z02_x07.jpg,2,7
03_10_2020_1\output_0011\0000318_z03_x06.jpg,3,6
03_13_2020_1\output_0006\0000879_z02_x06.jpg,2,6
03_12_2020_0\output_0010\0000627_z08_x07.jpg,8,7
03_16_2020_0\output_0000\0000188_z05_x06.jpg,5,6
03_13_2020_1\output_0002\0000105_z02_x06.jpg,2,6
JetBot\2021-10-08-20-32\0000830_z05_x06.jpg,5,6
03_13_2020_1\output_0009\0000679_z04_x06.jpg,4,6
03_13_2020_0\output_0001\0000459_z07_x07.jpg,7,7
03_09_2020_1\output_0031\0000444_z00_x07.jpg,0,7
03_13_2020_0\output_0006\0000691_z05_x07.jpg,5,7
03_09_2020_1\output_0033\0000269_z00_x06.jpg,0,6
03_06_2020_0\output_0008\0001620_z00_x06.jpg,0,6
03_12_2020_0\output_0000\0000215_z10_x07.jpg,10,7
03_06_2020_0\output_0008\0000240_z03_x07.jpg,3,7
03_13_2020_0\output_0006\0000541_z05_x07.jpg,5,7
03_09_2020_1\output_0015\0000130_z05_x06.jpg,5,6
03_06_2020_0\output_0003\0001364_z10_x06.jpg,10,6
03_13_2020_1\output_0000\0000745_z05_x07.jpg,5,7
03_12_2020_0\output_0013\0000691_z07_x07.jpg,7,7
03_16_2020_0\output_0004\0000099_z06_x06.jpg,6,6
03_12_2020_0\output_0013\0000261_z08_x06.jpg,8,6
03_13_2020_0\output_0004\0000273_z07_x07.jpg,7,7
03_06_2020_0\output_0006\0000410_z01_x06.jpg,1,6
03_12_2020_0\output_0013\0000275_z05_x06.jpg,5,6
03_09_2020_1\output_0029\0000018_z05_x08.jpg,5,8
03_13_2020_1\output_0004\0000736_z01_x07.jpg,1,7
JetBot\2021-10-08-20-32\0001355_z08_x06.jpg,8,6
03_06_2020_0\output_0010\0001543_z08_x07.jpg,8,7
03_10_2020_1\output_0003\0000922_z04_x06.jpg,4,6
03_13_2020_1\output_0006\0000624_z01_x06.jpg,1,6
03_10_2020_1\output_0012\0000274_z03_x06.jpg,3,6
03_12_2020_0\output_0009\0000339_z08_x06.jpg,8,6
03_10_2020_1\output_0001\0000319_z05_x06.jpg,5,6
03_06_2020_0\output_0010\0000857_z08_x07.jpg,8,7
03_09_2020_1\output_0041\0000650_z02_x06.jpg,2,6
03_12_2020_0\output_0014\0000856_z09_x07.jpg,9,7
03_12_2020_0\output_0008\0000696_z07_x07.jpg,7,7
03_13_2020_1\output_0001\0000332_z02_x06.jpg,2,6
03_12_2020_0\output_0005\0000713_z07_x07.jpg,7,7
03_09_2020_1\output_0027\0000074_z04_x08.jpg,4,8
03_06_2020_0\output_0008\0000742_z05_x06.jpg,5,6
03_09_2020_1\output_0021\0000546_z01_x07.jpg,1,7
03_13_2020_0\output_0003\0000884_z05_x07.jpg,5,7
03_13_2020_1\output_0007\0000223_z02_x07.jpg,2,7
03_06_2020_0\output_0002\0000174_z05_x06.jpg,5,6
03_06_2020_0\output_0002\0000125_z08_x06.jpg,8,6
03_09_2020_1\output_0036\0000700_z05_x07.jpg,5,7
03_09_2020_1\output_0015\0000220_z05_x07.jpg,5,7
03_13_2020_0\output_0004\0000628_z07_x07.jpg,7,7
03_06_2020_0\output_0003\0001511_z10_x06.jpg,10,6
03_10_2020_1\output_0012\0000535_z05_x06.jpg,5,6
03_12_2020_0\output_0002\0000677_z05_x07.jpg,5,7
03_12_2020_0\output_0003\0000905_z07_x06.jpg,7,6
03_16_2020_0\output_0005\0000337_z07_x07.jpg,7,7
03_12_2020_0\output_0008\0001083_z05_x07.jpg,5,7
03_10_2020_1\output_0006\0000617_z04_x06.jpg,4,6
03_16_2020_0\output_0006\0000022_z07_x07.jpg,7,7
03_13_2020_1\output_0012\0000101_z03_x06.jpg,3,6
03_09_2020_1\output_0025\0000688_z02_x07.jpg,2,7
03_12_2020_0\output_0001\0000770_z05_x07.jpg,5,7
JetBot\2021-10-08-20-32\0001693_z05_x07.jpg,5,7
03_13_2020_1\output_0012\0000685_z05_x07.jpg,5,7
03_12_2020_0\output_0008\0000316_z07_x07.jpg,7,7
03_09_2020_1\output_0021\0000076_z05_x07.jpg,5,7
03_12_2020_0\output_0012\0000786_z05_x07.jpg,5,7
03_13_2020_1\output_0008\0000246_z05_x06.jpg,5,6
03_16_2020_0\output_0001\0000346_z08_x07.jpg,8,7
03_09_2020_1\output_0042\0000518_z03_x07.jpg,3,7
03_09_2020_1\output_0017\0000273_z02_x07.jpg,2,7
03_09_2020_1\output_0023\0000112_z02_x07.jpg,2,7
