images,z,x
03_06_2020_0\output_0010\0001303_z07_x07.jpg,7,7
03_06_2020_0\output_0008\0000138_z05_x07.jpg,5,7
03_09_2020_1\output_0032\0000109_z05_x06.jpg,5,6
03_10_2020_1\output_0003\0000065_z05_x06.jpg,5,6
03_09_2020_1\output_0031\0000694_z04_x07.jpg,4,7
03_12_2020_0\output_0006\0000623_z05_x06.jpg,5,6
03_09_2020_1\output_0013\0000351_z00_x08.jpg,0,8
03_13_2020_1\output_0007\0000359_z05_x07.jpg,5,7
03_09_2020_1\output_0040\0000318_z02_x06.jpg,2,6
03_13_2020_1\output_0009\0000319_z02_x07.jpg,2,7
03_09_2020_1\output_0037\0000768_z03_x06.jpg,3,6
03_13_2020_1\output_0002\0000021_z02_x07.jpg,2,7
03_12_2020_0\output_0011\0000305_z06_x07.jpg,6,7
03_09_2020_1\output_0022\0000063_z03_x06.jpg,3,6
03_09_2020_1\output_0035\0000310_z02_x07.jpg,2,7
03_06_2020_0\output_0009\0000313_z01_x06.jpg,1,6
03_13_2020_1\output_0000\0000755_z02_x06.jpg,2,6
03_09_2020_1\output_0020\0000441_z02_x07.jpg,2,7
03_16_2020_0\output_0002\0000150_z05_x06.jpg,5,6
03_12_2020_0\output_0009\0000116_z07_x07.jpg,7,7
03_16_2020_0\output_0002\0000732_z05_x06.jpg,5,6
03_12_2020_0\output_0010\0000716_z05_x07.jpg,5,7
03_16_2020_0\output_0005\0000159_z05_x07.jpg,5,7
03_13_2020_1\output_0013\0000707_z03_x07.jpg,3,7
03_13_2020_0\output_0004\0000612_z07_x07.jpg,7,7
03_12_2020_0\output_0003\0000999_z09_x07.jpg,9,7
03_09_2020_1\output_0014\0000476_z05_x07.jpg,5,7
03_16_2020_0\output_0001\0000269_z08_x07.jpg,8,7
03_09_2020_1\output_0022\0000162_z04_x06.jpg,4,6
03_06_2020_0\output_0008\0000578_z03_x07.jpg,3,7
03_13_2020_0\output_0004\0000045_z08_x07.jpg,8,7
03_12_2020_0\output_0004\0000858_z06_x07.jpg,6,7
03_13_2020_1\output_0000\0000414_z03_x06.jpg,3,6
03_06_2020_0\output_0010\0001506_z07_x07.jpg,7,7
03_09_2020_1\output_0040\0000726_z05_x07.jpg,5,7
03_13_2020_1\output_0005\0000816_z00_x07.jpg,0,7
03_09_2020_1\output_0033\0000429_z01_x07.jpg,1,7
03_10_2020_1\output_0014\0000893_z03_x06.jpg,3,6
03_10_2020_1\output_0009\0000345_z04_x06.jpg,4,6
03_12_2020_0\output_0006\0000663_z08_x06.jpg,8,6
03_10_2020_1\output_0014\0000042_z02_x07.jpg,2,7
03_09_2020_1\output_0029\0000520_z02_x06.jpg,2,6
03_13_2020_1\output_0000\0000091_z02_x06.jpg,2,6
03_13_2020_1\output_0008\0000401_z05_x07.jpg,5,7
03_10_2020_1\output_0015\0000040_z02_x06.jpg,2,6
03_12_2020_0\output_0012\0000285_z07_x07.jpg,7,7
03_13_2020_0\output_0003\0000528_z05_x07.jpg,5,7
03_12_2020_0\output_0002\0000749_z08_x07.jpg,8,7
03_13_2020_1\output_0008\0000509_z05_x06.jpg,5,6
03_09_2020_1\output_0013\0000145_z01_x06.jpg,1,6
03_06_2020_0\output_0010\0001104_z09_x07.jpg,9,7
03_12_2020_0\output_0009\0000979_z05_x06.jpg,5,6
03_10_2020_1\output_0016\0000056_z01_x07.jpg,1,7
03_10_2020_1\output_0007\0000707_z03_x06.jpg,3,6
03_06_2020_0\output_0009\0000103_z03_x07.jpg,3,7
03_12_2020_0\output_0010\0000795_z08_x06.jpg,8,6
03_10_2020_1\output_0005\0000956_z00_x06.jpg,0,6
03_09_2020_1\output_0030\0000635_z02_x07.jpg,2,7
03_10_2020_1\output_0014\0000519_z01_x06.jpg,1,6
03_12_2020_0\output_0005\0000883_z06_x07.jpg,6,7
03_12_2020_0\output_0004\0000781_z07_x07.jpg,7,7
03_10_2020_1\output_0000\0000320_z02_x06.jpg,2,6
03_12_2020_0\output_0015\0000278_z05_x07.jpg,5,7
03_09_2020_1\output_0020\0000309_z02_x07.jpg,2,7
03_12_2020_0\output_0015\0000336_z06_x07.jpg,6,7
03_16_2020_0\output_0001\0000490_z07_x07.jpg,7,7
03_06_2020_0\output_0007\0000286_z05_x06.jpg,5,6
03_09_2020_1\output_0036\0000135_z04_x07.jpg,4,7
03_16_2020_0\output_0002\0000969_z09_x07.jpg,9,7
